"method","path","callsite_count","source_files","representative_line","laravel_status","laravel_methods","laravel_handlers","aspnet_status","aspnet_methods","aspnet_controllers"
"POST","/api/auth/admin-session","1","lib/nav-helpers.ts","21","exists","POST","[\App\Http\Controllers\Api\AuthController::class, 'adminSession']","exists","POST","AuthParity"
"GET","/api/partner/v1/aggregates/community","1","pages/developers/DevelopersEndpointsPage.tsx","37","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'communityAggregates']","exists","GET","V15MemberParity"
"GET","/api/partner/v1/listings","1","pages/developers/DevelopersEndpointsPage.tsx","34","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'listListings']","exists","GET","V15MemberParity"
"POST","/api/partner/v1/oauth/revoke","1","pages/developers/DevelopersEndpointsPage.tsx","31","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerOAuthController::class, 'revoke']","exists","POST","V15MemberParity"
"POST","/api/partner/v1/oauth/token","1","pages/developers/DevelopersEndpointsPage.tsx","30","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerOAuthController::class, 'token']","exists","POST","V15MemberParity"
"GET","/api/partner/v1/users","1","pages/developers/DevelopersEndpointsPage.tsx","32","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'listUsers']","exists","GET","V15MemberParity"
"GET","/api/partner/v1/users/{id}","1","pages/developers/DevelopersEndpointsPage.tsx","33","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'showUser']","exists","GET","V15MemberParity"
"GET","/api/partner/v1/wallet/balance/{userid}","1","pages/developers/DevelopersEndpointsPage.tsx","35","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'walletBalance']","exists","GET","V15MemberParity"
"POST","/api/partner/v1/wallet/credit","1","pages/developers/DevelopersEndpointsPage.tsx","36","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'walletCredit']","exists","POST","V15MemberParity"
"GET","/api/partner/v1/webhooks/subscriptions","1","pages/developers/DevelopersEndpointsPage.tsx","38","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'listWebhookSubscriptions']","exists","GET","V15MemberParity"
"POST","/api/partner/v1/webhooks/subscriptions","1","pages/developers/DevelopersEndpointsPage.tsx","39","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'createWebhookSubscription']","exists","POST","V15MemberParity"
"GET","/api/partner-analytics/me/dashboard","1","pages/partner-analytics/PartnerDashboardPage.tsx","122","missing","","","exists","GET","LaravelReactFrontendContract"
"GET","/api/partner-analytics/me/reports","1","pages/partner-analytics/PartnerDashboardPage.tsx","122","missing","","","exists","GET","LaravelReactFrontendContract"
"GET","/api/partner-analytics/me/reports/{id}/download","1","pages/partner-analytics/PartnerDashboardPage.tsx","122","missing","","","exists","GET","LaravelReactFrontendContract"
"UNRESOLVED","/api/sw-reset","2","lib/api.ts","104","missing","","","exists-unambiguous-method","GET","LaravelReactFrontendContract"
"UNRESOLVED","/api/v1/federation","3","admin/modules/federation/ExternalPartners.tsx","135","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\FederationController::class, 'index']","exists-unambiguous-method","GET","FederationExternalApi"
"GET","/api/v2/admin/ad-campaigns","1","admin/modules/advertising/AdCampaignAdminPage.tsx","218","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminListCampaigns']","exists","GET","AdminExplicitParity"
"GET","/api/v2/admin/ad-campaigns/{id}","1","admin/modules/advertising/AdCampaignAdminPage.tsx","302","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminGetCampaign']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/ad-campaigns/{id}/approve","1","admin/modules/advertising/AdCampaignAdminPage.tsx","244","exists","POST","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminApproveCampaign']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/ad-campaigns/{id}/pause","1","admin/modules/advertising/AdCampaignAdminPage.tsx","283","exists","POST","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminPauseCampaign']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/ad-campaigns/{id}/reject","1","admin/modules/advertising/AdCampaignAdminPage.tsx","263","exists","POST","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminRejectCampaign']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/ad-campaigns/stats","1","admin/modules/advertising/AdCampaignAdminPage.tsx","197","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminOverviewStats']","exists","GET","AdminExplicitParity"
"GET","/api/v2/admin/agents","1","admin/modules/agents/AgentsAdminPage.tsx","53","exists","GET","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'index']","exists","GET","AdminExplicitParity"
"PATCH","/api/v2/admin/agents/{id}","1","admin/modules/agents/AgentsAdminPage.tsx","125","exists","PATCH","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'update']","exists","PATCH","AdminExplicitParity"
"POST","/api/v2/admin/agents/{id}/run-now","1","admin/modules/agents/AgentsAdminPage.tsx","89","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'runNow']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/agents/{id}/toggle","1","admin/modules/agents/AgentsAdminPage.tsx","69","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'toggle']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/agents/proposals","1","admin/modules/agents/AgentProposalsPage.tsx","71","exists","GET","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'proposals']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/agents/proposals/{id}/approve","1","admin/modules/agents/AgentProposalsPage.tsx","88","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'approve']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/agents/proposals/{id}/edit-approve","1","admin/modules/agents/AgentProposalsPage.tsx","138","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'editAndApprove']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/agents/proposals/{id}/reject","1","admin/modules/agents/AgentProposalsPage.tsx","106","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'reject']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/agents/runs","1","admin/modules/agents/AgentRunsPage.tsx","61","exists","GET","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'runs']","exists","GET","AdminExplicitParity"
"GET","/api/v2/admin/ai-module-docs","1","admin/modules/ai/AiModuleDocsAdminPage.tsx","66","exists","GET","[\App\Http\Controllers\Api\Admin\AiModuleDocsController::class, 'index']","exists","GET","AdminAiModuleDocs"
"POST","/api/v2/admin/ai-module-docs","1","admin/modules/ai/AiModuleDocsAdminPage.tsx","109","exists","POST","[\App\Http\Controllers\Api\Admin\AiModuleDocsController::class, 'store']","exists","POST","AdminAiModuleDocs"
"DELETE","/api/v2/admin/ai-module-docs/{id}","1","admin/modules/ai/AiModuleDocsAdminPage.tsx","129","exists","DELETE","[\App\Http\Controllers\Api\Admin\AiModuleDocsController::class, 'destroy']","exists","DELETE","AdminAiModuleDocs"
"PUT","/api/v2/admin/ai-module-docs/{id}","1","admin/modules/ai/AiModuleDocsAdminPage.tsx","108","exists","PUT","[\App\Http\Controllers\Api\Admin\AiModuleDocsController::class, 'update']","exists","PUT","AdminAiModuleDocs"
"POST","/api/v2/admin/ai-module-docs/seed-defaults","1","admin/modules/ai/AiModuleDocsAdminPage.tsx","147","exists","POST","[\App\Http\Controllers\Api\Admin\AiModuleDocsController::class, 'seedDefaults']","exists","POST","AdminAiModuleDocs"
"GET","/api/v2/admin/ai-traces/metrics","1","admin/modules/ai/AiTraceMetricsAdminPage.tsx","61","exists","GET","[\App\Http\Controllers\Api\Admin\AiTraceMetricsController::class, 'metrics']","exists","GET","AiKnowledge"
"GET","/api/v2/admin/api-partners","1","admin/modules/api-partners/ApiPartnersAdminPage.tsx","103","exists","GET","[\App\Http\Controllers\Api\Admin\ApiPartnerAdminController::class, 'index']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/api-partners","1","admin/modules/api-partners/ApiPartnersAdminPage.tsx","385","exists","POST","[\App\Http\Controllers\Api\Admin\ApiPartnerAdminController::class, 'store']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/api-partners/{id}/activate","1","admin/modules/api-partners/ApiPartnersAdminPage.tsx","132","exists","POST","[\App\Http\Controllers\Api\Admin\ApiPartnerAdminController::class, 'activate']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/api-partners/{id}/call-log","1","admin/modules/api-partners/ApiPartnersAdminPage.tsx","166","exists","GET","[\App\Http\Controllers\Api\Admin\ApiPartnerAdminController::class, 'callLog']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/api-partners/{id}/regenerate-credentials","1","admin/modules/api-partners/ApiPartnersAdminPage.tsx","153","exists","POST","[\App\Http\Controllers\Api\Admin\ApiPartnerAdminController::class, 'regenerateCredentials']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/api-partners/{id}/suspend","1","admin/modules/api-partners/ApiPartnersAdminPage.tsx","118","exists","POST","[\App\Http\Controllers\Api\Admin\ApiPartnerAdminController::class, 'suspend']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/attributes","1","admin/api/adminApi.ts","578","exists","GET","[\App\Http\Controllers\Api\AdminCategoriesController::class, 'listAttributes']","exists-compatibility","GET","AdminCompatibility"
"POST","/api/v2/admin/attributes","1","admin/api/adminApi.ts","581","exists","POST","[\App\Http\Controllers\Api\AdminCategoriesController::class, 'storeAttribute']","exists-compatibility","POST","AdminCompatibility"
"DELETE","/api/v2/admin/attributes/{id}","1","admin/api/adminApi.ts","587","exists","DELETE","[\App\Http\Controllers\Api\AdminCategoriesController::class, 'destroyAttribute']","exists-compatibility","DELETE","AdminCompatibility"
"PUT","/api/v2/admin/attributes/{id}","1","admin/api/adminApi.ts","584","exists","PUT","[\App\Http\Controllers\Api\AdminCategoriesController::class, 'updateAttribute']","exists-compatibility","PUT","AdminCompatibility"
"GET","/api/v2/admin/background-jobs","1","admin/api/adminApi.ts","386","exists","GET","[\App\Http\Controllers\Api\AdminConfigController::class, 'getJobs']","exists-compatibility","GET","AdminCompatibility"
"POST","/api/v2/admin/background-jobs/{id}/run","1","admin/api/adminApi.ts","389","exists","POST","[\App\Http\Controllers\Api\AdminConfigController::class, 'runJob']","exists-compatibility","POST","AdminCompatibility"
"POST","/api/v2/admin/billing/checkout","1","admin/api/billingApi.ts","69","exists","POST","[\App\Http\Controllers\Api\AdminBillingController::class, 'createCheckoutSession']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/billing/invoices","1","admin/api/billingApi.ts","77","exists","GET","[\App\Http\Controllers\Api\AdminBillingController::class, 'getInvoices']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/billing/portal","1","admin/api/billingApi.ts","73","exists","POST","[\App\Http\Controllers\Api\AdminBillingController::class, 'createPortalSession']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/billing/subscription","1","admin/api/billingApi.ts","65","exists","GET","[\App\Http\Controllers\Api\AdminBillingController::class, 'getSubscription']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/billing/upgrade-request","1","admin/modules/billing/BillingPage.tsx","132","exists","POST","[\App\Http\Controllers\Api\AdminBillingController::class, 'requestUpgrade']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/blog","1","admin/api/adminApi.ts","758","exists","GET","[\App\Http\Controllers\Api\AdminBlogController::class, 'index']","exists","GET","AdminBlog"
"POST","/api/v2/admin/blog","1","admin/api/adminApi.ts","765","exists","POST","[\App\Http\Controllers\Api\AdminBlogController::class, 'store']","exists","POST","AdminBlog"
"DELETE","/api/v2/admin/blog/{id}","1","admin/api/adminApi.ts","771","exists","DELETE","[\App\Http\Controllers\Api\AdminBlogController::class, 'destroy']","exists","DELETE","AdminBlog"
"GET","/api/v2/admin/blog/{id}","1","admin/api/adminApi.ts","762","exists","GET","[\App\Http\Controllers\Api\AdminBlogController::class, 'show']","exists","GET","AdminBlog"
"PUT","/api/v2/admin/blog/{id}","1","admin/api/adminApi.ts","768","exists","PUT","[\App\Http\Controllers\Api\AdminBlogController::class, 'update']","exists","PUT","AdminBlog"
"POST","/api/v2/admin/blog/{id}/toggle-status","1","admin/api/adminApi.ts","774","exists","POST","[\App\Http\Controllers\Api\AdminBlogController::class, 'toggleStatus']","exists","POST","AdminBlog"
"POST","/api/v2/admin/blog/bulk-delete","1","admin/api/adminApi.ts","777","exists","POST","[\App\Http\Controllers\Api\AdminBlogController::class, 'bulkDelete']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/blog/bulk-publish","1","admin/api/adminApi.ts","780","exists","POST","[\App\Http\Controllers\Api\AdminBlogController::class, 'bulkPublish']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/broker/archives","1","admin/api/adminApi.ts","874","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'archives']","exists-compatibility","GET","AdminCompatibility2"
"GET","/api/v2/admin/broker/archives/{id}","1","admin/api/adminApi.ts","878","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'showArchive']","exists-compatibility","GET","AdminCompatibility2"
"GET","/api/v2/admin/broker/configuration","1","admin/api/adminApi.ts","858","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'getConfiguration']","exists","GET","AdminBroker"
"POST","/api/v2/admin/broker/configuration","1","admin/api/adminApi.ts","861","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'saveConfiguration']","exists","POST","AdminBroker"
"GET","/api/v2/admin/broker/dashboard","1","admin/api/adminApi.ts","809","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'dashboard']","exists","GET","AdminBroker"
"GET","/api/v2/admin/broker/exchanges","1","admin/api/adminApi.ts","813","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'exchanges']","exists","GET","AdminBroker"
"GET","/api/v2/admin/broker/exchanges/{id}","1","admin/api/adminApi.ts","864","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'showExchange']","exists","GET","AdminBroker"
"POST","/api/v2/admin/broker/exchanges/{id}/approve","1","admin/api/adminApi.ts","817","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'approveExchange']","exists","POST","AdminBroker"
"POST","/api/v2/admin/broker/exchanges/{id}/reject","1","admin/api/adminApi.ts","820","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'rejectExchange']","exists","POST","AdminBroker"
"GET","/api/v2/admin/broker/messages","1","admin/api/adminApi.ts","827","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'messages']","exists","GET","AdminBroker"
"GET","/api/v2/admin/broker/messages/{id}","1","admin/api/adminApi.ts","867","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'showMessage']","exists","GET","AdminBroker"
"POST","/api/v2/admin/broker/messages/{id}/approve","1","admin/api/adminApi.ts","870","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'approveMessage']","exists","POST","AdminBroker"
"POST","/api/v2/admin/broker/messages/{id}/flag","1","admin/api/adminApi.ts","840","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'flagMessage']","exists","POST","AdminBroker"
"POST","/api/v2/admin/broker/messages/{id}/review","1","admin/api/adminApi.ts","834","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'reviewMessage']","exists","POST","AdminBroker"
"GET","/api/v2/admin/broker/messages/unreviewed-count","1","admin/api/adminApi.ts","831","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'unreviewedCount']","exists","GET","AdminBroker"
"GET","/api/v2/admin/broker/monitoring","1","admin/api/adminApi.ts","837","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'monitoring']","exists","GET","AdminBroker"
"POST","/api/v2/admin/broker/monitoring/{id}","1","admin/api/adminApi.ts","843","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'setMonitoring']","exists","POST","AdminBroker"
"GET","/api/v2/admin/broker/risk-tags","1","admin/api/adminApi.ts","823","exists","GET","[\App\Http\Controllers\Api\AdminBrokerController::class, 'riskTags']","exists","GET","AdminBroker"
"DELETE","/api/v2/admin/broker/risk-tags/{id}","1","admin/api/adminApi.ts","855","exists","DELETE","[\App\Http\Controllers\Api\AdminBrokerController::class, 'removeRiskTag']","exists","DELETE","AdminBroker"
"POST","/api/v2/admin/broker/risk-tags/{id}","1","admin/api/adminApi.ts","852","exists","POST","[\App\Http\Controllers\Api\AdminBrokerController::class, 'saveRiskTag']","exists","POST","AdminBroker"
"POST","/api/v2/admin/cache/clear","1","admin/api/adminApi.ts","383","exists","POST","[\App\Http\Controllers\Api\AdminConfigController::class, 'clearCache']","exists-compatibility","POST","AdminCompatibility"
"GET","/api/v2/admin/cache/stats","1","admin/api/adminApi.ts","380","exists","GET","[\App\Http\Controllers\Api\AdminConfigController::class, 'cacheStats']","exists-compatibility","GET","AdminCompatibility"
"POST","/api/v2/admin/caring-community/assisted-onboarding","1","admin/modules/caring-community/CaringCommunityWorkflowPage.tsx","1478","exists","POST","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'assistedOnboarding']","exists","POST","AdminCaringCommunityAssistedOnboarding"
"GET","/api/v2/admin/caring-community/category-coefficients","1","admin/modules/caring-community/CategoryCoefficientsAdminPage.tsx","86","exists","GET","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'listCategoryCoefficients']","exists","GET","AdminCaringCommunityCategoryCoefficients"
"PUT","/api/v2/admin/caring-community/category-coefficients/{id}","1","admin/modules/caring-community/CategoryCoefficientsAdminPage.tsx","126","exists","PUT","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'updateCategoryCoefficient']","exists","PUT","AdminCaringCommunityCategoryCoefficients"
"GET","/api/v2/admin/caring-community/commercial-boundary","2","admin/modules/caring-community/CommercialBoundaryAdminPage.tsx","144","exists","GET","[\App\Http\Controllers\Api\Admin\CommercialBoundaryController::class, 'matrix']","exists","GET","AdminCaringCommunityCommercialBoundary"
"PUT","/api/v2/admin/caring-community/commercial-boundary/override","1","admin/modules/caring-community/CommercialBoundaryAdminPage.tsx","162","exists","PUT","[\App\Http\Controllers\Api\Admin\CommercialBoundaryController::class, 'setOverride']","exists","PUT","AdminCaringCommunityCommercialBoundary"
"GET","/api/v2/admin/caring-community/copilot/proposals","1","admin/modules/caring-community/MunicipalCopilotAdminPage.tsx","128","exists","GET","[\App\Http\Controllers\Api\Admin\MunicipalCopilotController::class, 'index']","exists","GET","AdminCaringCommunityMunicipalCopilot"
"POST","/api/v2/admin/caring-community/copilot/proposals","1","admin/modules/caring-community/MunicipalCopilotAdminPage.tsx","154","exists","POST","[\App\Http\Controllers\Api\Admin\MunicipalCopilotController::class, 'generate']","exists","POST","AdminCaringCommunityMunicipalCopilot"
"POST","/api/v2/admin/caring-community/copilot/proposals/{id}/accept","1","admin/modules/caring-community/MunicipalCopilotAdminPage.tsx","181","exists","POST","[\App\Http\Controllers\Api\Admin\MunicipalCopilotController::class, 'accept']","exists","POST","AdminCaringCommunityMunicipalCopilot"
"POST","/api/v2/admin/caring-community/copilot/proposals/{id}/reject","1","admin/modules/caring-community/MunicipalCopilotAdminPage.tsx","219","exists","POST","[\App\Http\Controllers\Api\Admin\MunicipalCopilotController::class, 'reject']","exists","POST","AdminCaringCommunityMunicipalCopilot"
"GET","/api/v2/admin/caring-community/data-quality/checks/{id}/rows","1","admin/modules/caring-community/DataQualityAdminPage.tsx","124","exists","GET","[\App\Http\Controllers\Api\Admin\TenantDataQualityController::class, 'affectedRows']","exists","GET","AdminCaringCommunityDataQuality"
"GET","/api/v2/admin/caring-community/data-quality/dashboard","1","admin/modules/caring-community/DataQualityAdminPage.tsx","101","exists","GET","[\App\Http\Controllers\Api\Admin\TenantDataQualityController::class, 'dashboard']","exists","GET","AdminCaringCommunityDataQuality"
"GET","/api/v2/admin/caring-community/digest/cadence","1","admin/modules/caring-community/CivicDigestAdminPage.tsx","56","exists","GET","[\App\Http\Controllers\Api\CivicDigestController::class, 'tenantCadence']","exists","GET","AdminCaringCommunityCivicDigest"
"PUT","/api/v2/admin/caring-community/digest/cadence","1","admin/modules/caring-community/CivicDigestAdminPage.tsx","76","exists","PUT","[\App\Http\Controllers\Api\CivicDigestController::class, 'setTenantCadence']","exists","PUT","AdminCaringCommunityCivicDigest"
"GET","/api/v2/admin/caring-community/disclosure-pack","1","admin/modules/caring-community/DisclosurePackAdminPage.tsx","70","exists","GET","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'disclosurePackShow']","exists","GET","AdminCaringCommunityDisclosurePack"
"PUT","/api/v2/admin/caring-community/disclosure-pack","1","admin/modules/caring-community/DisclosurePackAdminPage.tsx","93","exists","PUT","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'disclosurePackUpdate']","exists","PUT","AdminCaringCommunityDisclosurePack"
"GET","/api/v2/admin/caring-community/disclosure-pack/export","1","admin/modules/caring-community/DisclosurePackAdminPage.tsx","110","exists","GET","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'disclosurePackExport']","exists","GET","AdminCaringCommunityDisclosurePack"
"GET","/api/v2/admin/caring-community/emergency-alerts","1","admin/modules/caring-community/EmergencyAlertAdminPage.tsx","117","exists","GET","[\App\Http\Controllers\Api\EmergencyAlertController::class, 'adminList']","exists","GET","AdminCaringCommunityEmergencyAlerts"
"POST","/api/v2/admin/caring-community/emergency-alerts","1","admin/modules/caring-community/EmergencyAlertAdminPage.tsx","152","exists","POST","[\App\Http\Controllers\Api\EmergencyAlertController::class, 'store']","exists","POST","AdminCaringCommunityEmergencyAlerts"
"DELETE","/api/v2/admin/caring-community/emergency-alerts/{id}","1","admin/modules/caring-community/EmergencyAlertAdminPage.tsx","172","exists","DELETE","[\App\Http\Controllers\Api\EmergencyAlertController::class, 'deactivate']","exists","DELETE","AdminCaringCommunityEmergencyAlerts"
"GET","/api/v2/admin/caring-community/external-integrations","1","admin/modules/caring-community/ExternalIntegrationsAdminPage.tsx","174","exists","GET","[\App\Http\Controllers\Api\Admin\ExternalIntegrationController::class, 'index']","exists","GET","AdminCaringCommunityExternalIntegrations"
"POST","/api/v2/admin/caring-community/external-integrations","1","admin/modules/caring-community/ExternalIntegrationsAdminPage.tsx","251","exists","POST","[\App\Http\Controllers\Api\Admin\ExternalIntegrationController::class, 'store']","exists","POST","AdminCaringCommunityExternalIntegrations"
"DELETE","/api/v2/admin/caring-community/external-integrations/{id}","1","admin/modules/caring-community/ExternalIntegrationsAdminPage.tsx","274","exists","DELETE","[\App\Http\Controllers\Api\Admin\ExternalIntegrationController::class, 'destroy']","exists","DELETE","AdminCaringCommunityExternalIntegrations"
"PUT","/api/v2/admin/caring-community/external-integrations/{id}","1","admin/modules/caring-community/ExternalIntegrationsAdminPage.tsx","239","exists","PUT","[\App\Http\Controllers\Api\Admin\ExternalIntegrationController::class, 'update']","exists","PUT","AdminCaringCommunityExternalIntegrations"
"POST","/api/v2/admin/caring-community/external-integrations/seed-defaults","1","admin/modules/caring-community/ExternalIntegrationsAdminPage.tsx","217","exists","POST","[\App\Http\Controllers\Api\Admin\ExternalIntegrationController::class, 'seedDefaults']","exists","POST","AdminCaringCommunityExternalIntegrations"
"GET","/api/v2/admin/caring-community/favours","1","admin/modules/caring-community/CaringCommunityWorkflowPage.tsx","1057","exists","GET","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'listFavours']","exists","GET","AdminCaringCommunityFavours"
"GET","/api/v2/admin/caring-community/federation-peers","1","admin/modules/caring-community/FederationPeersAdminPage.tsx","83","exists","GET","[\App\Http\Controllers\Api\AdminFederationPeerController::class, 'index']","exists","GET","AdminCaringCommunityFederationPeers"
"POST","/api/v2/admin/caring-community/federation-peers","1","admin/modules/caring-community/FederationPeersAdminPage.tsx","113","exists","POST","[\App\Http\Controllers\Api\AdminFederationPeerController::class, 'store']","exists","POST","AdminCaringCommunityFederationPeers"
"DELETE","/api/v2/admin/caring-community/federation-peers/{id}","1","admin/modules/caring-community/FederationPeersAdminPage.tsx","193","exists","DELETE","[\App\Http\Controllers\Api\AdminFederationPeerController::class, 'destroy']","exists","DELETE","AdminCaringCommunityFederationPeers"
"POST","/api/v2/admin/caring-community/federation-peers/{id}/rotate-secret","1","admin/modules/caring-community/FederationPeersAdminPage.tsx","166","exists","POST","[\App\Http\Controllers\Api\AdminFederationPeerController::class, 'rotateSecret']","exists","POST","AdminCaringCommunityFederationPeers"
"PUT","/api/v2/admin/caring-community/federation-peers/{id}/status","1","admin/modules/caring-community/FederationPeersAdminPage.tsx","143","exists","PUT","[\App\Http\Controllers\Api\AdminFederationPeerController::class, 'updateStatus']","exists","PUT","AdminCaringCommunityFederationPeers"
"GET","/api/v2/admin/caring-community/feedback","1","admin/modules/caring-community/MunicipalityFeedbackAdminPage.tsx","188","exists","GET","[\App\Http\Controllers\Api\Admin\AdminMunicipalityFeedbackController::class, 'index']","exists","GET","AdminCaringCommunityMunicipalityFeedback"
"POST","/api/v2/admin/caring-community/feedback/{id}/close","1","admin/modules/caring-community/MunicipalityFeedbackAdminPage.tsx","269","exists","POST","[\App\Http\Controllers\Api\Admin\AdminMunicipalityFeedbackController::class, 'close']","exists","POST","AdminCaringCommunityMunicipalityFeedback"
"POST","/api/v2/admin/caring-community/feedback/{id}/resolve","1","admin/modules/caring-community/MunicipalityFeedbackAdminPage.tsx","250","exists","POST","[\App\Http\Controllers\Api\Admin\AdminMunicipalityFeedbackController::class, 'resolve']","exists","POST","AdminCaringCommunityMunicipalityFeedback"
"PUT","/api/v2/admin/caring-community/feedback/{id}/triage","1","admin/modules/caring-community/MunicipalityFeedbackAdminPage.tsx","222","exists","PUT","[\App\Http\Controllers\Api\Admin\AdminMunicipalityFeedbackController::class, 'triage']","exists","PUT","AdminCaringCommunityMunicipalityFeedback"
"GET","/api/v2/admin/caring-community/feedback/dashboard","1","admin/modules/caring-community/MunicipalityFeedbackAdminPage.tsx","170","exists","GET","[\App\Http\Controllers\Api\Admin\AdminMunicipalityFeedbackController::class, 'dashboard']","exists","GET","AdminCaringCommunityMunicipalityFeedback"
"UNRESOLVED","/api/v2/admin/caring-community/feedback/export.csv","1","admin/modules/caring-community/MunicipalityFeedbackAdminPage.tsx","288","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\Admin\AdminMunicipalityFeedbackController::class, 'exportCsv']","exists-unambiguous-method","GET","AdminCaringCommunityMunicipalityFeedback"
"GET","/api/v2/admin/caring-community/forecast","1","admin/modules/caring-community/CaringCommunityWorkflowPage.tsx","931","exists","GET","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'forecast']","exists","GET","AdminCaringCommunityForecast"
"POST","/api/v2/admin/caring-community/hour-transfer/{id}/approve","1","admin/modules/caring-community/HourTransferAdminPage.tsx","156","exists","POST","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'hourTransferApprove']","exists","POST","AdminCaringCommunityHourTransfer"
"POST","/api/v2/admin/caring-community/hour-transfer/{id}/reject","1","admin/modules/caring-community/HourTransferAdminPage.tsx","182","exists","POST","[\App\Http\Controllers\Api\AdminCaringCommunityController::class, 'hourTransferReject']","exists","POST","AdminCaringCommunityHourTransfer"
