"method","path","callsite_count","source_files","representative_line","laravel_status","laravel_methods","laravel_handlers","aspnet_status","aspnet_methods","aspnet_controllers"
"POST","/api/v2/marketplace/listings/{id}/video","1","pages/marketplace/CreateMarketplaceListingPage.tsx","403","exists","POST","[\App\Http\Controllers\Api\MarketplaceListingController::class, 'uploadVideo']","exists","POST","Marketplace"
"GET","/api/v2/marketplace/listings/featured","1","pages/marketplace/MarketplacePage.tsx","150","exists","GET","[\App\Http\Controllers\Api\MarketplaceListingController::class, 'featured']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/listings/generate-description","2","pages/marketplace/CreateMarketplaceListingPage.tsx;pages/marketplace/EditMarketplaceListingPage.tsx","320","exists","POST","[\App\Http\Controllers\Api\MarketplaceListingController::class, 'generateDescription']","exists","POST","Marketplace"
"GET","/api/v2/marketplace/listings/nearby","1","pages/marketplace/MarketplaceMapSearchPage.tsx","183","exists","GET","[\App\Http\Controllers\Api\MarketplaceListingController::class, 'nearby']","exists","GET","Marketplace"
"GET","/api/v2/marketplace/me/pickups","1","pages/marketplace/MyPickupsPage.tsx","58","exists","GET","[\App\Http\Controllers\Api\MarketplacePickupSlotController::class, 'myReservations']","exists","GET","Marketplace"
"UNRESOLVED","/api/v2/marketplace/my-offers/received","1","pages/marketplace/MyOffersPage.tsx","99","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\MarketplaceOfferController::class, 'receivedOffers']","exists-unambiguous-method","GET","Marketplace"
"UNRESOLVED","/api/v2/marketplace/my-offers/sent","1","pages/marketplace/MyOffersPage.tsx","98","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\MarketplaceOfferController::class, 'sentOffers']","exists-unambiguous-method","GET","Marketplace"
"DELETE","/api/v2/marketplace/offers/{id}","1","pages/marketplace/MyOffersPage.tsx","185","exists","DELETE","[\App\Http\Controllers\Api\MarketplaceOfferController::class, 'withdraw']","exists","DELETE","Marketplace"
"PUT","/api/v2/marketplace/offers/{id}/accept","1","pages/marketplace/MyOffersPage.tsx","153","exists","PUT","[\App\Http\Controllers\Api\MarketplaceOfferController::class, 'accept']","exists","PUT","Marketplace"
"PUT","/api/v2/marketplace/offers/{id}/accept-counter","1","pages/marketplace/MyOffersPage.tsx","201","exists","PUT","[\App\Http\Controllers\Api\MarketplaceOfferController::class, 'acceptCounter']","exists","PUT","Marketplace"
"PUT","/api/v2/marketplace/offers/{id}/counter","1","pages/marketplace/MyOffersPage.tsx","238","exists","PUT","[\App\Http\Controllers\Api\MarketplaceOfferController::class, 'counter']","exists","PUT","Marketplace"
"PUT","/api/v2/marketplace/offers/{id}/decline","1","pages/marketplace/MyOffersPage.tsx","169","exists","PUT","[\App\Http\Controllers\Api\MarketplaceOfferController::class, 'decline']","exists","PUT","Marketplace"
"POST","/api/v2/marketplace/orders","1","components/marketplace/BuyNowButton.tsx","211","exists","POST","[\App\Http\Controllers\Api\MarketplaceOrderController::class, 'store']","exists","POST","Marketplace"
"PUT","/api/v2/marketplace/orders/{id}/confirm-delivery","1","pages/marketplace/BuyerOrdersPage.tsx","332","exists","PUT","[\App\Http\Controllers\Api\MarketplaceOrderController::class, 'confirmDelivery']","exists","PUT","Marketplace"
"GET","/api/v2/marketplace/orders/{id}/delivery-offers","1","components/marketplace/CommunityDeliveryCard.tsx","100","exists","GET","[\App\Http\Controllers\Api\MarketplaceCommunityDeliveryController::class, 'index']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/orders/{id}/delivery-offers","1","components/marketplace/CommunityDeliveryCard.tsx","125","exists","POST","[\App\Http\Controllers\Api\MarketplaceCommunityDeliveryController::class, 'store']","exists","POST","Marketplace"
"PUT","/api/v2/marketplace/orders/{id}/delivery-offers/{id}/accept","1","components/marketplace/CommunityDeliveryCard.tsx","151","exists","PUT","[\App\Http\Controllers\Api\MarketplaceCommunityDeliveryController::class, 'accept']","exists","PUT","Marketplace"
"PUT","/api/v2/marketplace/orders/{id}/delivery-offers/{id}/confirm","1","components/marketplace/CommunityDeliveryCard.tsx","167","exists","PUT","[\App\Http\Controllers\Api\MarketplaceCommunityDeliveryController::class, 'confirm']","exists","PUT","Marketplace"
"POST","/api/v2/marketplace/orders/{id}/rate","1","components/marketplace/RatingModal.tsx","65","exists","POST","[\App\Http\Controllers\Api\MarketplaceOrderController::class, 'rate']","exists","POST","Marketplace"
"PUT","/api/v2/marketplace/orders/{id}/ship","1","pages/marketplace/SellerOrdersPage.tsx","337","exists","PUT","[\App\Http\Controllers\Api\MarketplaceOrderController::class, 'ship']","exists","PUT","Marketplace"
"GET","/api/v2/marketplace/orders/purchases","1","pages/marketplace/BuyerOrdersPage.tsx","296","exists","GET","[\App\Http\Controllers\Api\MarketplaceOrderController::class, 'purchases']","exists","GET","Marketplace"
"GET","/api/v2/marketplace/orders/sales","1","pages/marketplace/SellerOrdersPage.tsx","289","exists","GET","[\App\Http\Controllers\Api\MarketplaceOrderController::class, 'sales']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/payments/create-intent","1","components/marketplace/BuyNowButton.tsx","225","exists","POST","[\App\Http\Controllers\Api\MarketplacePaymentController::class, 'createIntent']","exists","POST","Marketplace"
"GET","/api/v2/marketplace/promotions/products","1","components/marketplace/PromotionSelector.tsx","85","exists","GET","[\App\Http\Controllers\Api\MarketplacePromotionController::class, 'products']","exists","GET","Marketplace"
"GET","/api/v2/marketplace/reports","1","pages/marketplace/MarketplaceReportsPage.tsx","44","exists","GET","[\App\Http\Controllers\Api\MarketplaceReportController::class, 'mine']","exists","GET","MarketplaceReportCases"
"GET","/api/v2/marketplace/reports/{id}","1","pages/marketplace/MarketplaceReportPage.tsx","48","exists","GET","[\App\Http\Controllers\Api\MarketplaceReportController::class, 'show']","exists","GET","MarketplaceReportCases"
"POST","/api/v2/marketplace/reports/{id}/appeal","1","pages/marketplace/MarketplaceReportPage.tsx","76","exists","POST","[\App\Http\Controllers\Api\MarketplaceReportController::class, 'appeal']","exists","POST","MarketplaceReportCases"
"GET","/api/v2/marketplace/saved-searches","1","pages/marketplace/MarketplaceCollectionsPage.tsx","105","exists","GET","[\App\Http\Controllers\Api\MarketplaceDiscoveryController::class, 'listSavedSearches']","exists","GET","Marketplace"
